"subject_id","rt","key_press","ListLength","Trial_index","Phase","correct","Block","word1","word2","Context","Context_position","ContextSize","assignmentID","date","time_elapsed","internal_node_id","response","cue","target","SequenceLength","sequence","letterSeen","queriedPosition","correct_01","Gender","Age","Cheated_pairs","Cheated_letters","validity","Error_type"
"02kgvknsak4v935",5.2975,32,15,1,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",411855,"0.0-209.0","juicer","beet","juicer",NA,NA,NA,5,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",1.08990000009537,32,15,2,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",418446,"0.0-213.0","tomato","taco","tomato",NA,NA,NA,2,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",1.43459999990463,32,15,3,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",423895,"0.0-217.0","vise","tackle","vise",NA,NA,NA,9,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",0.9055,32,15,4,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",428454,"0.0-221.0","riser","rose","riser",NA,NA,NA,13,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",1.13029999995232,32,15,5,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",433166,"0.0-225.0","peach","petal","peach",NA,NA,NA,8,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",0.545799999952316,32,15,6,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",437462,"0.0-229.0","weed","cactus","weed",NA,NA,NA,1,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",0.546799999952316,32,15,7,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",441382,"0.0-233.0","pedal","banjo","pedal",NA,NA,NA,6,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",0.953099999904633,32,15,8,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",446750,"0.0-237.0","lock","gate","lock",NA,NA,NA,14,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",0.707299999952316,32,15,9,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",450709,"0.0-241.0","dryer","cooler","dryer",NA,NA,NA,11,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",2.08160000014305,32,15,10,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",456502,"0.0-245.0","pliers","plant","pliers",NA,NA,NA,7,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",1.56929999995232,32,15,11,"CuePresentation","TRUE",1,NA,NA,"./images/lake.png","upper-left","13","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",461453,"0.0-249.0","hummus","chips","hummus",NA,NA,NA,15,1,"female",45,FALSE,FALSE,TRUE,"Correct"
"02kgvknsak4v935",0.905600000143051,32,15,12,"CuePresentation","TRUE",1,NA,NA,"./images/sunset.png","lower-left","2","65f2ba819e9cf67ac1ae99b1","16_3_2024_9_56_5",466013,"0.0-253.0","sundae","cookie","sundae",NA,NA,NA,3,1,"female",45,FALSE,FALSE,TRUE,"Correct"
